generating_institute     gfz-potsdam
     generating_date     2015/10/23
        product_type     gravity_field
                body     earth
           modelname     eigen-6c4
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_earth  (centrifugal term included)
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -6.0000000000000    
      latlimit_south      -20.000000000000    
      longlimit_west       319.00000000000    
      longlimit_east       329.00000000000    
            gridstep      0.10000000000000    
  latitude_parallels           141
 longitude_parallels           101
number_of_gridpoints         14241
            gapvalue        9999999.0000
       weighted_mean      9.7827218E+05 mgal
            maxvalue      9.7879470E+05 mgal
            minvalue      9.7784516E+05 mgal
         signal_wrms      1.9344986E+02 mgal
         grid_format     long_lat_height_value
 
          longitude    latitude  h_over_geoid  gravity_earth
            [deg.]      [deg.]     [meter]         [mgal]
end_of_head ======================================================
           319.9000     -6.1000     536.00   977950.537001243327
           320.0000     -6.1000     553.00   977944.958901999285
           320.1000     -6.1000     535.00   977946.850066465442
           320.2000     -6.1000     480.00   977962.605493290699
           320.3000     -6.1000     430.00   977977.988283504499
           320.4000     -6.1000     344.00   978008.835949208471
           320.5000     -6.1000     324.00   977999.809825963457
           320.6000     -6.1000     348.00   977977.249586279737
           320.7000     -6.1000     268.00   977991.340125705348
           320.8000     -6.1000     266.00   977992.178036488593
           320.9000     -6.1000     245.00   977999.350912702736
           321.0000     -6.1000     293.00   977993.239622705732
           321.1000     -6.1000     285.00   977999.715534807416
           321.2000     -6.1000     199.00   978025.249485481880
           321.3000     -6.1000     148.00   978045.715993258636
           321.4000     -6.1000     298.00   978012.134008524241
           321.5000     -6.1000     572.00   977973.979440975818
           321.6000     -6.1000     458.00   978000.506613451871
           321.7000     -6.1000     215.00   978052.041967532714
           321.8000     -6.1000     197.00   978051.553673281800
           321.9000     -6.1000     248.00   978038.518786309636
           322.0000     -6.1000     346.00   978033.072323936620
           322.1000     -6.1000     714.00   977912.020564017701
           322.2000     -6.1000     208.00   978039.330838673632
           322.3000     -6.1000     206.00   978043.678314415738
           322.4000     -6.1000     206.00   978044.151668438222
           322.5000     -6.1000     192.00   978035.988706284552
           322.6000     -6.1000     170.00   978041.232482157764
           322.7000     -6.1000     162.00   978044.172007264337
           322.8000     -6.1000     193.00   978048.155800515902
           322.9000     -6.1000     109.00   978062.214453779394
           323.0000     -6.1000     107.00   978057.268157135462
           323.1000     -6.1000     329.00   978004.535281341756
           323.2000     -6.1000     390.00   978010.211943353759
           323.3000     -6.1000     645.00   977961.187382858014
           323.4000     -6.1000     705.00   977938.796602388611
           323.5000     -6.1000     577.00   977973.432819975889
           323.6000     -6.1000     462.00   977996.668181654299
           323.7000     -6.1000     529.00   977961.955662227934
           323.8000     -6.1000     484.00   977980.717239564052
           323.9000     -6.1000     416.00   977991.771976049407
           324.0000     -6.1000     335.00   978019.265802560374
           324.1000     -6.1000     183.00   978063.687676556059
           324.2000     -6.1000     186.00   978067.410542624304
           324.3000     -6.1000     133.00   978080.788165873615
           324.4000     -6.1000     128.00   978084.619310290436
           324.5000     -6.1000     104.00   978093.659878850915
           324.6000     -6.1000      62.00   978105.343328662449
           324.7000     -6.1000      36.00   978108.696046342957
           324.8000     -6.1000       9.00   978113.525518661365
           324.9000     -6.1000       0.00   978130.803722375887
           325.0000     -6.1000       0.00   978156.580650297343
           325.1000     -6.1000       0.00   978183.947210936807
           325.2000     -6.1000       0.00   978153.202664685552
           325.3000     -6.1000       0.00   978104.365087819053
           325.4000     -6.1000       0.00   978082.591484421631
           325.5000     -6.1000       0.00   978077.439627943211
           325.6000     -6.1000       0.00   978070.980913565960
           325.7000     -6.1000       0.00   978060.616363755427
           325.8000     -6.1000       0.00   978062.393898751587
           325.9000     -6.1000       0.00   978058.121921961661
           326.0000     -6.1000       0.00   978063.764706961927
           326.1000     -6.1000       0.00   978073.219889077824
           326.2000     -6.1000       0.00   978077.534903322230
           326.3000     -6.1000       0.00   978085.832018970745
           326.4000     -6.1000       0.00   978086.734200055827
           326.5000     -6.1000       0.00   978091.304395050742
           326.6000     -6.1000       0.00   978094.190816028859
           326.7000     -6.1000       0.00   978094.767064311542
           326.8000     -6.1000       0.00   978091.258887692005
           326.9000     -6.1000       0.00   978094.414178033709
           327.0000     -6.1000       0.00   978089.096873666742
           327.1000     -6.1000       0.00   978087.183470304240
           327.2000     -6.1000       0.00   978090.554091965314
           327.3000     -6.1000       0.00   978087.968617903534
           327.4000     -6.1000       0.00   978090.065785945160
           327.5000     -6.1000       0.00   978087.448257748852
           327.6000     -6.1000       0.00   978089.666916428716
           327.7000     -6.1000       0.00   978084.680023983005
           327.8000     -6.1000       0.00   978085.004575406434
           327.9000     -6.1000       0.00   978087.655608845758
           328.0000     -6.1000       0.00   978083.847767612897
           328.1000     -6.1000       0.00   978083.719759036554
           328.2000     -6.1000       0.00   978078.416452463251
           328.3000     -6.1000       0.00   978075.710527212592
           328.4000     -6.1000       0.00   978080.730837843381
           328.5000     -6.1000       0.00   978079.626651245519
           328.6000     -6.1000       0.00   978077.417765834020
           328.7000     -6.1000       0.00   978079.744516261271
           328.8000     -6.1000       0.00   978081.093459056225
           328.9000     -6.1000       0.00   978081.869466313277
           329.0000     -6.1000       0.00   978084.692366867210
           319.0000     -6.2000     694.00   977898.418543940410
           319.1000     -6.2000     658.00   977924.041704850621
           319.2000     -6.2000     639.00   977919.109480182291
           319.3000     -6.2000     484.00   977946.011103390716
           319.4000     -6.2000     502.00   977947.645286026411
           319.5000     -6.2000     432.00   977965.757416288950
           319.6000     -6.2000     424.00   977970.724190860172
           319.7000     -6.2000     382.00   977984.320631100331
           319.8000     -6.2000     402.00   977983.269631516072
           319.9000     -6.2000     416.00   977984.990274171694
           320.0000     -6.2000     416.00   977978.548736734665
           320.1000     -6.2000     508.00   977954.186667084927
           320.2000     -6.2000     526.00   977946.746719090268
           320.3000     -6.2000     418.00   977972.392968089087
           320.4000     -6.2000     323.00   978002.322016150807
           320.5000     -6.2000     287.00   978004.366041617584
           320.6000     -6.2000     305.00   977986.685440247646
           320.7000     -6.2000     266.00   977992.906259926734
           320.8000     -6.2000     224.00   978001.640094985603
           320.9000     -6.2000     237.00   977999.741045224830
           321.0000     -6.2000     320.00   977980.500793901039
           321.1000     -6.2000     262.00   978003.399342884426
           321.2000     -6.2000     204.00   978024.944921834511
           321.3000     -6.2000     172.00   978035.290155854425
           321.4000     -6.2000     578.00   977948.024455030099
           321.5000     -6.2000     677.00   977944.840684834169
           321.6000     -6.2000     594.00   977951.250188608887
           321.7000     -6.2000     305.00   978021.062696764129
           321.8000     -6.2000     220.00   978043.634065660997
           321.9000     -6.2000     223.00   978038.573823443847
           322.0000     -6.2000     274.00   978026.820271451259
           322.1000     -6.2000     375.00   977999.881687552319
           322.2000     -6.2000     325.00   978013.990454713814
           322.3000     -6.2000     233.00   978029.233279885142
           322.4000     -6.2000     192.00   978037.698126843781
           322.5000     -6.2000     182.00   978036.132746176911
           322.6000     -6.2000     157.00   978044.454777504550
           322.7000     -6.2000     143.00   978047.225357046351
           322.8000     -6.2000     127.00   978050.116738852346
           322.9000     -6.2000     152.00   978048.594056583941
           323.0000     -6.2000     212.00   978040.948399977991
           323.1000     -6.2000     339.00   978009.025106071145
           323.2000     -6.2000     300.00   978022.803682122496
           323.3000     -6.2000     354.00   978020.985061440850
           323.4000     -6.2000     416.00   978000.344373553991
           323.5000     -6.2000     364.00   978006.760187410633
           323.6000     -6.2000     411.00   977999.484096554457
           323.7000     -6.2000     477.00   977989.935156721505
           323.8000     -6.2000     528.00   977980.014316584566
           323.9000     -6.2000     343.00   978015.767016267870
           324.0000     -6.2000     254.00   978039.845271000988
           324.1000     -6.2000     249.00   978041.584609312005
           324.2000     -6.2000     170.00   978069.027098808554
           324.3000     -6.2000     162.00   978073.487962227082
           324.4000     -6.2000     127.00   978085.194370976416
           324.5000     -6.2000     105.00   978094.423795729643
           324.6000     -6.2000     110.00   978099.076750062173
           324.7000     -6.2000     129.00   978091.039359287242
           324.8000     -6.2000      76.00   978090.669195023365
           324.9000     -6.2000      23.00   978107.975258974126
           325.0000     -6.2000       0.00   978133.033270991291
           325.1000     -6.2000       0.00   978174.527211139910
           325.2000     -6.2000       0.00   978135.514074650244
           325.3000     -6.2000       0.00   978088.781742525985
           325.4000     -6.2000       0.00   978067.886417103116
           325.5000     -6.2000       0.00   978061.297591059119
           325.6000     -6.2000       0.00   978062.689234388410
           325.7000     -6.2000       0.00   978079.324625129229
           325.8000     -6.2000       0.00   978065.684677991783
           325.9000     -6.2000       0.00   978052.492540563690
           326.0000     -6.2000       0.00   978053.051642084494
           326.1000     -6.2000       0.00   978061.510105998139
           326.2000     -6.2000       0.00   978070.382174815866
           326.3000     -6.2000       0.00   978078.543485274422
           326.4000     -6.2000       0.00   978084.317570748273
           326.5000     -6.2000       0.00   978086.603235664312
           326.6000     -6.2000       0.00   978088.352405402227
           326.7000     -6.2000       0.00   978088.162571183289
           326.8000     -6.2000       0.00   978090.782950759050
           326.9000     -6.2000       0.00   978092.755283707986
           327.0000     -6.2000       0.00   978095.221511615906
           327.1000     -6.2000       0.00   978094.695938632358
           327.2000     -6.2000       0.00   978092.974017291213
           327.3000     -6.2000       0.00   978093.347351945005
           327.4000     -6.2000       0.00   978090.390577623970
           327.5000     -6.2000       0.00   978092.253418858396
           327.6000     -6.2000       0.00   978093.411796625354
           327.7000     -6.2000       0.00   978088.745731531642
           327.8000     -6.2000       0.00   978089.774393139291
           327.9000     -6.2000       0.00   978088.332578178495
           328.0000     -6.2000       0.00   978089.295119318063
           328.1000     -6.2000       0.00   978090.057766930200
           328.2000     -6.2000       0.00   978086.275392748183
           328.3000     -6.2000       0.00   978084.068205076153
           328.4000     -6.2000       0.00   978082.258264643257
           328.5000     -6.2000       0.00   978081.793349985033
           328.6000     -6.2000       0.00   978079.526011913083
           328.7000     -6.2000       0.00   978082.094367254176
           328.8000     -6.2000       0.00   978084.924975496135
           328.9000     -6.2000       0.00   978083.647500336054
           329.0000     -6.2000       0.00   978084.510605264339
           319.0000     -6.3000     574.00   977934.216271464131
           319.1000     -6.3000     785.00   977886.241088588955
           319.2000     -6.3000     824.00   977874.113338968134
           319.3000     -6.3000     531.00   977942.213528032182
           319.4000     -6.3000     500.00   977956.177025279263
           319.5000     -6.3000     482.00   977962.431922057061
           319.6000     -6.3000     478.00   977960.554922080715
           319.7000     -6.3000     404.00   977980.763706102036
           319.8000     -6.3000     364.00   977992.949595543789
           319.9000     -6.3000     428.00   977974.370140658459
           320.0000     -6.3000     405.00   977979.871587271919
           320.1000     -6.3000     457.00   977965.268397414940
           320.2000     -6.3000     413.00   977970.662700966699
           320.3000     -6.3000     403.00   977978.075705622090
           320.4000     -6.3000     347.00   977985.063229400548
           320.5000     -6.3000     276.00   977996.929282623692
           320.6000     -6.3000     259.00   977995.091696865507
           320.7000     -6.3000     212.00   978001.039226656430
           320.8000     -6.3000     203.00   978003.411193867447
           320.9000     -6.3000     221.00   978002.764487447799
           321.0000     -6.3000     230.00   978005.737940597814
           321.1000     -6.3000     280.00   977996.356217234512
           321.2000     -6.3000     149.00   978036.870270244661
           321.3000     -6.3000     175.00   978036.251095469343
           321.4000     -6.3000     649.00   977944.403659240925
           321.5000     -6.3000     537.00   977971.066648794222
           321.6000     -6.3000     491.00   977980.547931727371
           321.7000     -6.3000     315.00   978021.609328381950
           321.8000     -6.3000     405.00   977986.555464080535
           321.9000     -6.3000     263.00   978028.475620294921
           322.0000     -6.3000     275.00   978024.437132645166
           322.1000     -6.3000     397.00   977994.352785615483
           322.2000     -6.3000     636.00   977924.848309524823
           322.3000     -6.3000     294.00   978006.776319947210
           322.4000     -6.3000     215.00   978022.221627990133
           322.5000     -6.3000     188.00   978033.932129121502
           322.6000     -6.3000     159.00   978040.485366462381
           322.7000     -6.3000     125.00   978052.819676869200
           322.8000     -6.3000     135.00   978049.794647886185
           322.9000     -6.3000     209.00   978036.708594357711
