generating_institute     gfz-potsdam
     generating_date     2015/10/23
        product_type     gravity_field
                body     earth
           modelname     eigen-6c4
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_disturbance
    zero_degree_term     included
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -6.0000000000000    
      latlimit_south      -20.000000000000    
      longlimit_west       319.00000000000    
      longlimit_east       329.00000000000    
            gridstep      0.10000000000000    
  latitude_parallels           141
 longitude_parallels           101
number_of_gridpoints         14241
            gapvalue           9999.0000
       weighted_mean     -6.3902939E+00 mgal
            maxvalue      2.7325794E+02 mgal
            minvalue     -1.2119740E+02 mgal
         signal_wrms      2.8036039E+01 mgal
         grid_format     long_lat_height_value
 
          longitude    latitude  h_over_geoid  gravity_disturbance
            [deg.]      [deg.]     [meter]         [mgal]
end_of_head ======================================================
           328.6000     -6.0000       0.00      -20.168397291087
           328.7000     -6.0000       0.00      -12.192343416473
           328.8000     -6.0000       0.00      -13.036879188455
           328.9000     -6.0000       0.00      -10.415452400814
           329.0000     -6.0000       0.00       -8.711894089863
           319.0000     -6.1000     668.00       11.181032582996
           319.1000     -6.1000     707.00       25.062064926651
           319.2000     -6.1000     646.00       16.211499159979
           319.3000     -6.1000     593.00        8.064179530365
           319.4000     -6.1000     515.00        4.161238785549
           319.5000     -6.1000     459.00        0.892134275077
           319.6000     -6.1000     433.00       -1.179556359077
           319.7000     -6.1000     412.00        3.349269264241
           319.8000     -6.1000     443.00       14.756811524030
           319.9000     -6.1000     536.00       21.806044753525
           320.0000     -6.1000     553.00       21.535747494283
           320.1000     -6.1000     535.00       17.912294720901
           320.2000     -6.1000     480.00       16.723203425606
           320.3000     -6.1000     430.00       16.700801856828
           320.4000     -6.1000     344.00       21.019171625447
           320.5000     -6.1000     324.00        5.793613761362
           320.6000     -6.1000     348.00       -9.385123068739
           320.7000     -6.1000     268.00      -19.994381754174
           320.8000     -6.1000     266.00      -19.735297590096
           320.9000     -6.1000     245.00      -18.981140911833
           321.0000     -6.1000     293.00      -10.180576876984
           321.1000     -6.1000     285.00       -6.073905882076
           321.2000     -6.1000     199.00       -6.983945326944
           321.3000     -6.1000     148.00       -2.131977859854
           321.4000     -6.1000     298.00       10.764569036503
           321.5000     -6.1000     572.00       57.386444658292
           321.6000     -6.1000     458.00       48.791905273404
           321.7000     -6.1000     215.00       25.314537559673
           321.8000     -6.1000     197.00       19.297641696880
           321.9000     -6.1000     248.00       22.060159519199
           322.0000     -6.1000     346.00       46.942968101327
           322.1000     -6.1000     714.00       39.505343464796
